from,to,relationship
bmw,AfD,2
cw,AfD,2
rhl,AfD,2
bmw,cw,1
mf,DB,2
me,KSK,3
mvh,KSK,2
rvp,KSK,2
am,me,1
am,mf,1
mr,mf,4
me,mvh,1
am,NDA,2
me,NDA,2
me,NDA,2
me,NDA,5
mf,NDA,2
pw,NDA,2
rvp,NDA,2
am,pw,1
bmw,rhl,1
am,rvp,1
me,rvp,1
pw,rvp,1
